setpoint [rad], position [rad], velocity [rad/s], current [mA], delta_t [ms]
0.00, 3.39, 0.00, 0.00, 0.00
3.32, 3.39, 0.00, -930.74, 1.81
3.32, 3.39, 0.00, 1460.67, 2.57
3.32, 3.39, 0.00, -1527.92, 2.50
3.32, 3.38, 0.00, -1815.75, 2.50
3.32, 3.37, -0.02, -1129.80, 2.56
3.32, 3.36, -0.07, -613.32, 2.46
3.32, 3.34, -0.22, 158.71, 2.50
3.32, 3.33, -0.34, 567.59, 2.48
3.32, 3.32, -0.48, 836.59, 2.50
3.32, 3.31, -0.72, 887.70, 2.53
3.32, 3.31, -0.96, 763.96, 2.50
3.32, 3.31, -1.13, 591.80, 2.49
3.32, 3.31, -1.32, 365.84, 2.49
3.32, 3.31, -1.46, 142.57, 2.51
3.32, 3.31, -1.56, 67.25, 2.47
3.32, 3.31, -1.68, -26.90, 2.49
3.32, 3.31, -1.75, -86.08, 2.50
3.32, 3.32, -1.80, -137.19, 2.50
3.32, 3.32, -1.77, -83.39, 2.58
3.32, 3.32, -1.70, -91.46, 2.43
3.32, 3.32, -1.61, -69.94, 2.55
3.32, 3.32, -1.44, -21.52, 2.47
3.10, 3.32, -1.29, 13.45, 2.47
3.10, 3.31, -1.08, -1517.16, 2.51
3.10, 3.30, -0.89, -1296.58, 2.52
3.10, 3.29, -0.79, -941.50, 2.49
3.10, 3.28, -0.77, -607.94, 2.49
3.10, 3.26, -0.79, -392.74, 2.50
3.10, 3.24, -0.86, -252.86, 2.50
3.10, 3.23, -1.06, -172.16, 2.51
3.10, 3.21, -1.22, -137.19, 2.50
3.10, 3.19, -1.56, -104.91, 2.49
3.10, 3.17, -1.80, -75.32, 2.50
3.10, 3.15, -2.23, -64.56, 2.50
3.10, 3.13, -2.57, 287.83, 2.50
3.10, 3.12, -3.05, 825.83, 2.50
3.10, 3.10, -3.57, 1129.80, 2.52
3.10, 3.10, -3.88, 1124.42, 2.49
3.10, 3.09, -4.15, 973.78, 2.50
3.10, 3.09, -4.48, 642.91, 2.54
3.10, 3.09, -4.63, 441.16, 2.44
3.10, 3.09, -4.75, 236.72, 2.50
3.10, 3.09, -4.72, 48.42, 2.54
2.85, 3.10, -4.63, -59.18, 2.47
2.85, 3.09, -4.44, -1877.62, 2.51
2.85, 3.09, -4.24, -1570.96, 2.49
2.85, 3.08, -3.96, -944.19, 2.55
2.85, 3.06, -3.76, -653.67, 2.45
2.85, 3.04, -3.48, -392.74, 2.51
2.85, 3.03, -3.33, -285.14, 2.48
2.85, 3.01, -3.17, -169.47, 2.93
2.85, 2.99, -3.12, -129.12, 2.07
2.85, 2.97, -3.09, -107.60, 2.51
2.85, 2.95, -3.17, -72.63, 2.58
2.85, 2.94, -3.26, -61.87, 2.42
2.85, 2.91, -3.50, -64.56, 2.53
2.85, 2.89, -3.84, 56.49, 2.50
2.85, 2.88, -4.10, 476.13, 2.47
2.85, 2.86, -4.39, 973.78, 2.51
2.85, 2.85, -4.80, 1226.64, 2.55
2.85, 2.84, -5.13, 1070.62, 2.45
2.85, 2.84, -5.28, 820.45, 2.75
2.83, 2.84, -5.44, 411.57, 3.77
2.83, 2.84, -5.47, 368.53, 0.95
2.83, 2.84, -5.44, -664.43, 2.52
2.83, 2.84, -5.30, -379.29, 2.49
2.83, 2.83, -5.16, -115.67, 2.50
2.83, 2.83, -4.92, 53.80, 2.50
2.83, 2.83, -4.58, 121.05, 2.61
2.83, 2.83, -4.34, 156.02, 2.39
2.83, 2.83, -4.08, 177.54, 2.50
2.83, 2.83, -3.65, 123.74, 2.50
2.83, 2.83, -3.36, 104.91, 2.49
2.83, 2.83, -2.93, 40.35, 2.49
2.83, 2.83, -2.66, 45.73, 2.51
2.83, 2.83, -2.28, -5.38, 2.50
2.83, 2.83, -2.06, -40.35, 2.50
2.83, 2.83, -1.77, -26.90, 2.50
2.83, 2.83, -1.61, -16.14, 2.52
2.83, 2.83, -1.39, -8.07, 2.51
2.83, 2.83, -1.25, -2.69, 2.48
2.83, 2.83, -1.06, -2.69, 2.49
2.92, 2.83, -0.96, -2.69, 2.50
2.92, 2.83, -0.79, 1533.30, 2.49
2.92, 2.84, -0.70, 1398.80, 2.50
2.92, 2.85, -0.53, 906.53, 2.50
2.92, 2.87, -0.38, 578.35, 2.54
2.92, 2.88, -0.12, 121.05, 2.46
2.92, 2.90, 0.05, -521.86, 2.49
2.92, 2.91, 0.38, -914.60, 2.50
2.92, 2.92, 0.72, -1022.20, 2.56
2.92, 2.93, 0.96, -938.81, 2.46
2.92, 2.93, 1.18, -704.78, 2.48
2.92, 2.93, 1.49, -443.85, 2.51
2.92, 2.93, 1.65, -274.38, 2.50
2.92, 2.92, 1.87, -112.98, 2.50
2.92, 2.92, 1.99, 26.90, 2.50
2.92, 2.92, 2.11, 115.67, 2.50
2.92, 2.92, 2.16, 150.64, 2.50
2.92, 2.92, 2.13, 112.98, 2.50
2.92, 2.92, 2.06, 107.60, 2.50
2.92, 2.92, 1.89, 67.25, 2.50
3.43, 2.92, 1.75, 8.07, 2.50
3.43, 2.92, 1.51, 1498.33, 2.53
3.43, 2.93, 1.34, 1377.28, 2.47
3.43, 2.94, 1.15, 893.08, 2.50
3.43, 2.96, 1.06, 567.59, 2.50
3.43, 2.97, 1.03, 371.22, 2.49
3.43, 2.99, 1.08, 250.17, 2.50
3.43, 3.01, 1.22, 164.09, 2.50
3.43, 3.03, 1.37, 104.91, 2.50
3.43, 3.05, 1.68, 86.08, 2.50
3.43, 3.06, 1.92, 69.94, 2.50
3.43, 3.08, 2.35, 48.42, 2.50
3.43, 3.10, 2.64, 40.35, 2.50
3.43, 3.12, 3.14, 45.73, 2.49
3.43, 3.14, 3.48, 34.97, 2.57
3.43, 3.16, 4.00, 29.59, 2.44
3.43, 3.18, 4.34, 32.28, 2.52
3.43, 3.20, 4.82, 32.28, 2.49
3.43, 3.22, 5.11, 21.52, 2.50
3.43, 3.24, 5.49, 29.59, 2.47
3.02, 3.26, 5.73, 34.97, 2.50
3.02, 3.27, 6.02, -3023.56, 2.56
3.02, 3.27, 6.16, -2805.67, 2.47
3.02, 3.27, 6.28, -1826.51, 2.50
3.02, 3.26, 6.28, -1143.25, 2.48
3.02, 3.24, 6.12, -723.61, 2.50
3.02, 3.23, 5.92, -462.68, 2.50
3.02, 3.21, 5.49, -303.97, 2.52
3.02, 3.19, 5.13, -212.51, 2.48
3.02, 3.18, 4.46, -158.71, 2.50
3.02, 3.16, 3.93, -104.91, 2.50
3.02, 3.14, 3.07, -83.39, 2.50
3.02, 3.12, 2.45, -78.01, 2.51
3.02, 3.10, 1.46, -61.87, 2.50
3.02, 3.08, 0.74, -48.42, 2.51
3.02, 3.06, -0.29, 75.32, 2.48
3.02, 3.04, -0.98, 610.63, 2.50
3.02, 3.03, -1.94, 1076.00, 2.51
3.02, 3.02, -2.76, 1186.29, 2.56
3.02, 3.01, -3.21, 1076.00, 2.43
3.52, 3.01, -3.60, 804.31, 2.50
3.52, 3.01, -4.03, 1737.74, 2.49
3.52, 3.02, -4.20, 1444.53, 2.50
3.52, 3.03, -4.29, 928.05, 2.52
3.52, 3.05, -4.24, 591.80, 2.50
3.52, 3.06, -4.00, 387.36, 2.50
3.52, 3.08, -3.60, 225.96, 2.50
3.52, 3.10, -3.24, 166.78, 2.51
3.52, 3.12, -2.81, 112.98, 2.48
3.52, 3.14, -2.06, 88.77, 2.51
3.52, 3.15, -1.51, 67.25, 2.52
3.52, 3.17, -0.65, 43.04, 2.47
3.52, 3.19, -0.02, 45.73, 2.50
3.52, 3.21, 0.86, 45.73, 2.51
3.52, 3.23, 1.44, 32.28, 2.51
3.52, 3.25, 2.30, 29.59, 2.49
3.52, 3.27, 2.83, 37.66, 2.50
3.52, 3.29, 3.55, 32.28, 2.51
3.52, 3.31, 3.96, 26.90, 2.49
3.52, 3.33, 4.53, 34.97, 2.50
3.52, 3.35, 4.87, 32.28, 2.50
3.03, 3.37, 5.30, 32.28, 2.51
3.03, 3.38, 5.56, -2550.12, 2.48
3.03, 3.39, 5.85, -2824.50, 2.51
3.03, 3.38, 6.00, -2047.09, 2.50
3.03, 3.37, 6.07, -1172.84, 2.67
3.03, 3.36, 6.00, -812.38, 2.34
3.03, 3.35, 5.78, -519.17, 2.47
3.03, 3.33, 5.37, -320.11, 2.57
3.03, 3.31, 5.01, -220.58, 2.57
3.03, 3.29, 4.39, -147.95, 2.46
3.03, 3.27, 3.88, -112.98, 2.47
3.03, 3.26, 3.33, -86.08, 2.50
3.03, 3.24, 2.42, -78.01, 2.43
3.03, 3.22, 1.77, -64.56, 2.53
3.03, 3.20, 0.74, -48.42, 2.48
3.03, 3.18, 0.05, -53.80, 2.50
3.03, 3.16, -0.98, -53.80, 2.49
3.03, 3.14, -1.63, -40.35, 2.52
3.03, 3.12, -2.52, -51.11, 2.52
3.03, 3.10, -3.05, -53.80, 2.46
3.03, 3.08, -3.76, -40.35, 2.50
3.03, 3.06, -4.20, 371.22, 2.52
