setpoint [rad], position [rad], velocity [rad/s],acceleration [rad/s^2], current [mA], delta_t [ms]
0.00, 3.10, 0.00,nan, 0.00, 0.00
3.09, 3.10, 0.00,nan, -416.95, 1.41
3.09, 3.10, 0.00,nan, 1428.39, 2.57
3.09, 3.11, 0.00,nan, 199.06, 2.48
3.09, 3.11, 0.00,nan, -1059.86, 2.52
3.09, 3.11, 0.02,nan, -801.62, 2.49
3.09, 3.10, 0.05,nan, -390.05, 2.48
3.56, 3.10, 0.05,nan, -83.39, 2.52
3.56, 3.10, 0.02,nan, 1866.86, 2.50
3.56, 3.10, 0.02,nan, 1708.15, 2.50
3.56, 3.11, 0.02,nan, 1086.76, 2.49
3.56, 3.13, 0.07,nan, 680.57, 2.50
3.56, 3.14, 0.17,nan, 438.47, 2.55
3.56, 3.16, 0.29,nan, 293.21, 2.46
3.56, 3.18, 0.53,nan, 204.44, 2.47
3.56, 3.20, 0.72,nan, 147.95, 2.52
3.56, 3.22, 1.06,nan, 104.91, 2.48
3.56, 3.23, 1.29,nan, 83.39, 2.50
3.56, 3.25, 1.70,nan, 78.01, 2.50
3.56, 3.27, 1.99,nan, 67.25, 2.50
3.56, 3.29, 2.49,nan, 48.42, 2.50
3.56, 3.31, 2.85,nan, 53.80, 2.52
3.56, 3.33, 3.43,nan, 59.18, 2.48
3.56, 3.34, 3.79,nan, 48.42, 2.49
3.56, 3.37, 4.32,nan, 40.35, 2.49
3.56, 3.38, 4.63,nan, 48.42, 2.50
3.56, 3.40, 5.06,nan, 53.80, 2.50
3.49, 3.42, 5.30,nan, 37.66, 2.50
3.49, 3.44, 5.64,nan, -492.27, 2.50
3.49, 3.46, 5.83,nan, -244.79, 2.50
3.49, 3.47, 6.07,nan, -648.29, 2.50
3.49, 3.48, 6.19,nan, -895.77, 2.50
3.49, 3.49, 6.33,nan, -946.88, 2.50
3.49, 3.49, 6.35,nan, -839.28, 2.51
3.49, 3.50, 6.33,nan, -624.08, 2.50
3.49, 3.50, 6.26,nan, -395.43, 2.56
3.49, 3.49, 6.07,nan, -190.99, 2.46
3.49, 3.49, 5.90,nan, -43.04, 2.48
3.49, 3.49, 5.56,nan, 69.94, 2.49
3.49, 3.49, 5.30,nan, 72.63, 2.50
3.49, 3.49, 4.87,nan, 107.60, 2.50
3.49, 3.49, 4.53,nan, 78.01, 2.50
3.49, 3.49, 4.03,nan, 45.73, 2.50
3.49, 3.49, 3.69,nan, 29.59, 2.50
3.49, 3.49, 3.17,nan, 26.90, 2.50
3.49, 3.49, 2.83,nan, 16.14, 2.50
3.49, 3.49, 2.37,nan, 0.00, 2.70
3.28, 3.49, 2.09,nan, 0.00, 2.31
3.28, 3.49, 1.70,nan, -1546.75, 2.59
3.28, 3.48, 1.46,nan, -1401.49, 2.43
3.28, 3.47, 1.15,nan, -925.36, 2.51
3.28, 3.45, 0.94,nan, -591.80, 2.47
3.28, 3.44, 0.58,nan, -379.29, 2.50
3.28, 3.42, 0.34,nan, -252.86, 2.51
3.28, 3.40, -0.05,nan, -180.23, 2.52
3.28, 3.38, -0.34,nan, -139.88, 2.44
3.28, 3.37, -0.82,nan, -110.29, 2.51
3.28, 3.34, -1.13,nan, -80.70, 2.50
3.28, 3.33, -1.65,nan, 51.11, 2.50
3.28, 3.31, -2.01,nan, 605.25, 2.51
3.28, 3.29, -2.57,nan, 1006.06, 2.49
3.28, 3.28, -2.95,nan, 1124.42, 2.56
3.28, 3.28, -3.45,nan, 1041.03, 2.44
3.28, 3.28, -3.74,nan, 790.86, 2.53
3.28, 3.28, -4.05,nan, 511.10, 2.49
3.28, 3.28, -4.20,nan, 266.31, 2.47
3.28, 3.28, -4.29,nan, 91.46, 2.50
3.18, 3.28, -4.29,nan, -37.66, 2.53
3.18, 3.28, -4.17,nan, -1710.84, 2.48
3.18, 3.27, -4.05,nan, -1544.06, 2.49
3.18, 3.26, -3.84,nan, -1008.75, 2.50
3.18, 3.25, -3.69,nan, -645.60, 2.50
3.18, 3.23, -3.45,nan, -403.50, 2.50
3.18, 3.22, -3.33,nan, 121.05, 2.51
3.18, 3.20, -3.17,nan, 685.95, 2.52
3.18, 3.19, -3.09,nan, 946.88, 2.48
3.18, 3.18, -3.02,nan, 1011.44, 2.51
3.18, 3.18, -3.00,nan, 847.35, 2.49
3.18, 3.18, -3.00,nan, 624.08, 2.51
3.18, 3.18, -3.02,nan, 371.22, 2.50
3.18, 3.18, -3.05,nan, 190.99, 2.53
3.18, 3.18, -3.05,nan, 37.66, 2.53
3.18, 3.18, -3.05,nan, -34.97, 2.53
3.18, 3.18, -3.02,nan, -86.08, 2.42
3.18, 3.18, -2.93,nan, -131.81, 2.51
3.18, 3.18, -2.81,nan, -102.22, 2.49
